Date;Time;
15/01/1995;01:49:50;
15/01/1995;01:50:00;
15/01/1995;01:50:10;
15/01/1995;01:50:20;
15/01/1995;01:50:30;
15/01/1995;01:50:40;
15/01/1995;01:50:50;
15/01/1995;01:51:00;
15/01/1995;01:51:10;
15/01/1995;01:51:20;
15/01/1995;01:51:30;
15/01/1995;01:51:40;
15/01/1995;01:51:50;
15/01/1995;01:52:00;
15/01/1995;01:52:10;
15/01/1995;01:52:20;
15/01/1995;01:52:30;
15/01/1995;01:52:40;
15/01/1995;01:52:50;
15/01/1995;01:53:00;
15/01/1995;01:53:10;
15/01/1995;01:53:20;
15/01/1995;01:53:30;
15/01/1995;01:53:40;
15/01/1995;01:53:50;
15/01/1995;01:54:00;
15/01/1995;01:54:10;
15/01/1995;01:54:20;
15/01/1995;01:54:30;
15/01/1995;01:54:40;
15/01/1995;01:54:50;
15/01/1995;01:55:00;
15/01/1995;01:55:10;
15/01/1995;01:55:20;
15/01/1995;01:55:30;
15/01/1995;01:55:40;
15/01/1995;01:55:50;
15/01/1995;01:56:00;
15/01/1995;01:56:10;
15/01/1995;01:56:20;
15/01/1995;01:56:30;
15/01/1995;01:56:40;
15/01/1995;01:56:50;
15/01/1995;01:57:00;
15/01/1995;01:57:10;
15/01/1995;01:57:20;
15/01/1995;01:57:30;
15/01/1995;01:57:40;
15/01/1995;01:57:50;
15/01/1995;01:58:00;
15/01/1995;01:58:10;
15/01/1995;01:58:20;
15/01/1995;01:58:30;
15/01/1995;01:58:40;
15/01/1995;01:58:50;
15/01/1995;01:59:00;
15/01/1995;01:59:10;
15/01/1995;01:59:20;
15/01/1995;01:59:30;
15/01/1995;01:59:40;
15/01/1995;01:59:50;
15/01/1995;02:00:00;
15/01/1995;02:00:10;
15/01/1995;02:00:20;
15/01/1995;02:00:30;
15/01/1995;02:00:40;
15/01/1995;02:00:50;
15/01/1995;02:01:00;
15/01/1995;02:01:10;
15/01/1995;02:01:20;
15/01/1995;02:01:30;
15/01/1995;02:01:40;
15/01/1995;02:01:50;
15/01/1995;02:02:00;
15/01/1995;02:02:10;
15/01/1995;02:02:20;
15/01/1995;02:02:30;
15/01/1995;02:02:40;
15/01/1995;02:02:50;
15/01/1995;02:03:00;
15/01/1995;02:03:10;
15/01/1995;02:03:20;
15/01/1995;02:03:30;
15/01/1995;02:03:40;
15/01/1995;02:03:50;
15/01/1995;02:04:00;
15/01/1995;02:04:10;
15/01/1995;02:04:20;
15/01/1995;02:04:30;
15/01/1995;02:04:40;
15/01/1995;02:04:50;
15/01/1995;02:05:00;
15/01/1995;02:05:10;
15/01/1995;02:05:20;
15/01/1995;02:05:30;
15/01/1995;02:05:40;
15/01/1995;02:05:50;
15/01/1995;02:06:00;
15/01/1995;02:06:10;
15/01/1995;02:06:20;
15/01/1995;02:06:30;
15/01/1995;02:06:40;
15/01/1995;02:06:50;
15/01/1995;02:07:00;
15/01/1995;02:07:10;
15/01/1995;02:07:20;
15/01/1995;02:07:30;
15/01/1995;02:07:40;
15/01/1995;02:07:50;
15/01/1995;02:08:00;
15/01/1995;02:08:10;
15/01/1995;02:08:20;
15/01/1995;02:08:30;
15/01/1995;02:08:40;
15/01/1995;02:08:50;
15/01/1995;02:09:00;
15/01/1995;02:09:10;
15/01/1995;02:09:20;
15/01/1995;02:09:30;
15/01/1995;02:09:40;
15/01/1995;02:09:50;
15/01/1995;02:10:00;
15/01/1995;02:10:10;
15/01/1995;02:10:20;
15/01/1995;02:10:30;
15/01/1995;02:10:40;
15/01/1995;02:10:50;
15/01/1995;02:11:00;
15/01/1995;02:11:10;
15/01/1995;02:11:20;
15/01/1995;02:11:30;
15/01/1995;02:11:40;
15/01/1995;02:11:50;
15/01/1995;02:12:00;
15/01/1995;02:12:10;
15/01/1995;02:12:20;
15/01/1995;02:12:30;
15/01/1995;02:12:40;
15/01/1995;02:12:50;
15/01/1995;02:13:00;
15/01/1995;02:13:10;
15/01/1995;02:13:20;
15/01/1995;02:13:30;
15/01/1995;02:13:40;
15/01/1995;02:13:50;
15/01/1995;02:14:00;
15/01/1995;02:14:10;
15/01/1995;02:14:20;
15/01/1995;02:14:30;
15/01/1995;02:14:40;
15/01/1995;02:14:50;
15/01/1995;02:15:00;
15/01/1995;02:15:10;
15/01/1995;02:15:20;
15/01/1995;02:15:30;
15/01/1995;02:15:40;
15/01/1995;02:15:50;
15/01/1995;02:16:00;
15/01/1995;02:16:10;
15/01/1995;02:16:20;
15/01/1995;02:16:30;
15/01/1995;02:16:40;
15/01/1995;02:16:50;
15/01/1995;02:17:00;
15/01/1995;02:17:10;
15/01/1995;02:17:20;
15/01/1995;02:17:30;
15/01/1995;02:17:40;
15/01/1995;02:17:50;
15/01/1995;02:18:00;
15/01/1995;02:18:10;
15/01/1995;02:18:20;
15/01/1995;02:18:30;
15/01/1995;02:18:40;
15/01/1995;02:18:50;
15/01/1995;02:19:00;
15/01/1995;02:19:10;
15/01/1995;02:19:20;
15/01/1995;02:19:30;
15/01/1995;02:19:40;
15/01/1995;02:19:50;
15/01/1995;02:20:00;
15/01/1995;02:20:10;
15/01/1995;02:20:20;
15/01/1995;02:20:30;
15/01/1995;02:20:40;
15/01/1995;02:20:50;
15/01/1995;02:21:00;
